tiff_file,category,side,ground_truth
Dataset/ThermEval-D/Thermal_104,Forehead,right,31.92980132450331
Dataset/ThermEval-D/Thermal_104,Nose,left,33.8044776119403
Dataset/ThermEval-D/Thermal_104,Nose,right,34.35178571428572
Dataset/ThermEval-D/Thermal_36,Chest,left,31.252239467849225
Dataset/ThermEval-D/Thermal_36,Chest,right,32.710868331441546
Dataset/ThermEval-D/Thermal_36,Nose,left,33.005494505494504
Dataset/ThermEval-D/Thermal_36,Nose,right,33.430612244897965
Dataset/ThermEval-D/Thermal_36,Forehead,left,32.69481865284974
Dataset/ThermEval-D/Thermal_36,Forehead,right,33.69847094801223
Dataset/ThermEval-D/Thermal_232,Chest,left,32.17991498405951
Dataset/ThermEval-D/Thermal_232,Chest,right,31.685207577589683
Dataset/ThermEval-D/Thermal_232,Forehead,left,33.32232142857142
Dataset/ThermEval-D/Thermal_232,Forehead,right,33.6572972972973
Dataset/ThermEval-D/Thermal_232,Nose,left,33.259523809523806
Dataset/ThermEval-D/Thermal_232,Nose,right,33.584057971014495
Dataset/ThermEval-D/Thermal_205,Chest,left,32.42045194871143
Dataset/ThermEval-D/Thermal_205,Chest,right,34.08225718936516
Dataset/ThermEval-D/Thermal_205,Forehead,left,32.44211409395973
Dataset/ThermEval-D/Thermal_205,Forehead,right,34.07942583732057
Dataset/ThermEval-D/Thermal_205,Nose,left,33.06094276094276
Dataset/ThermEval-D/Thermal_205,Nose,right,34.31764705882353
Dataset/ThermEval-D/Thermal_96,Chest,left,34.061023985239856
Dataset/ThermEval-D/Thermal_96,Chest,right,34.72583932853717
Dataset/ThermEval-D/Thermal_96,Forehead,left,36.1175572519084
Dataset/ThermEval-D/Thermal_96,Forehead,right,36.572535211267606
Dataset/ThermEval-D/Thermal_96,Nose,left,36.34594594594594
Dataset/ThermEval-D/Thermal_96,Nose,right,36.79117647058824
Dataset/ThermEval-D/Thermal_21,Chest,left,34.07524639878696
Dataset/ThermEval-D/Thermal_21,Chest,right,33.97947103274559
Dataset/ThermEval-D/Thermal_21,Forehead,left,35.139830508474574
Dataset/ThermEval-D/Thermal_21,Forehead,right,36.42824858757062
Dataset/ThermEval-D/Thermal_10,Chest,left,28.02533651758576
Dataset/ThermEval-D/Thermal_10,Chest,right,29.406527468072166
Dataset/ThermEval-D/Thermal_10,Nose,left,30.39868421052632
Dataset/ThermEval-D/Thermal_10,Nose,right,30.80267857142857
Dataset/ThermEval-D/Thermal_10,Forehead,left,32.20484848484848
Dataset/ThermEval-D/Thermal_10,Forehead,right,32.38071065989848
Dataset/ThermEval-D/Thermal_218,Chest,left,31.822605965463108
Dataset/ThermEval-D/Thermal_218,Chest,right,30.633147373314745
Dataset/ThermEval-D/Thermal_224,Chest,left,29.65885111371629
Dataset/ThermEval-D/Thermal_224,Chest,right,31.091135655621635
Dataset/ThermEval-D/Thermal_30,Chest,left,32.73817951959545
Dataset/ThermEval-D/Thermal_30,Chest,right,32.74136715997181
Dataset/ThermEval-D/Thermal_30,Nose,left,33.38823529411765
Dataset/ThermEval-D/Thermal_30,Nose,right,34.60625
Dataset/ThermEval-D/Thermal_25,Chest,left,33.40795954265612
Dataset/ThermEval-D/Thermal_25,Chest,right,33.03262518968133
Dataset/ThermEval-D/Thermal_25,Forehead,left,33.71468926553672
Dataset/ThermEval-D/Thermal_25,Forehead,right,33.67292576419214
Dataset/ThermEval-D/Thermal_25,Nose,left,33.84444444444445
Dataset/ThermEval-D/Thermal_25,Nose,right,34.90151515151515
Dataset/ThermEval-D/Thermal_137,Forehead,left,33.26081081081082
Dataset/ThermEval-D/Thermal_137,Forehead,right,34.004938271604935
Dataset/ThermEval-D/Thermal_137,Chest,left,31.5962852897474
Dataset/ThermEval-D/Thermal_137,Chest,right,32.07655453618756
Dataset/ThermEval-D/Thermal_223,Chest,left,29.31491891891892
Dataset/ThermEval-D/Thermal_223,Chest,right,30.385309278350515
Dataset/ThermEval-D/Thermal_225,Chest,left,29.5875117370892
Dataset/ThermEval-D/Thermal_225,Chest,right,30.991223086124403
Dataset/ThermEval-D/Thermal_225,Forehead,left,34.012307692307694
Dataset/ThermEval-D/Thermal_225,Forehead,right,32.171875
Dataset/ThermEval-D/Thermal_69,Chest,left,27.50166240409207
Dataset/ThermEval-D/Thermal_69,Chest,right,28.17579068430132
Dataset/ThermEval-D/Thermal_69,Forehead,left,30.91190476190476
Dataset/ThermEval-D/Thermal_69,Forehead,right,32.63373493975904
Dataset/ThermEval-D/Thermal_69,Nose,left,28.932
Dataset/ThermEval-D/Thermal_69,Nose,right,31.61282051282051
Dataset/ThermEval-D/Thermal_64,Chest,left,27.495982142857144
Dataset/ThermEval-D/Thermal_64,Chest,right,27.488706256627783
Dataset/ThermEval-D/Thermal_64,Nose,left,30.75806451612903
Dataset/ThermEval-D/Thermal_64,Nose,right,28.874285714285712
Dataset/ThermEval-D/Thermal_64,Forehead,left,31.250666666666664
Dataset/ThermEval-D/Thermal_64,Forehead,right,30.545454545454547
Dataset/ThermEval-D/Thermal_63,Chest,left,28.34424778761062
Dataset/ThermEval-D/Thermal_63,Chest,right,28.906578947368416
Dataset/ThermEval-D/Thermal_63,Forehead,left,31.411340206185567
Dataset/ThermEval-D/Thermal_63,Forehead,right,30.951428571428576
Dataset/ThermEval-D/Thermal_63,Nose,left,31.380000000000003
Dataset/ThermEval-D/Thermal_63,Nose,right,32.426923076923075
Dataset/ThermEval-D/Thermal_46,Chest,left,31.451401869158875
Dataset/ThermEval-D/Thermal_46,Chest,right,31.921534437663464
Dataset/ThermEval-D/Thermal_46,Nose,left,33.94500000000001
Dataset/ThermEval-D/Thermal_46,Nose,right,35.4468085106383
Dataset/ThermEval-D/Thermal_46,Forehead,left,33.386419753086415
Dataset/ThermEval-D/Thermal_46,Forehead,right,33.48309859154931
Dataset/ThermEval-D/Thermal_174,Chest,left,32.75320447609359
Dataset/ThermEval-D/Thermal_174,Chest,right,32.451469740634
Dataset/ThermEval-D/Thermal_174,Forehead,left,33.13265306122449
Dataset/ThermEval-D/Thermal_174,Forehead,right,33.835344827586205
Dataset/ThermEval-D/Thermal_41,Chest,left,33.4770243902439
Dataset/ThermEval-D/Thermal_41,Chest,right,32.917943409247755
Dataset/ThermEval-D/Thermal_1,Chest,left,28.32127659574468
Dataset/ThermEval-D/Thermal_1,Chest,right,28.69540400296516
Dataset/ThermEval-D/Thermal_1,Nose,left,32.596739130434784
Dataset/ThermEval-D/Thermal_1,Nose,right,31.11739130434782
Dataset/ThermEval-D/Thermal_1,Forehead,left,32.11705685618729
Dataset/ThermEval-D/Thermal_1,Forehead,right,31.581460674157302
Dataset/ThermEval-D/Thermal_129,Chest,left,32.599598070739546
Dataset/ThermEval-D/Thermal_129,Chest,right,32.707826649417854
Dataset/ThermEval-D/Thermal_129,Forehead,left,34.54528301886792
Dataset/ThermEval-D/Thermal_129,Forehead,right,33.38279569892473
Dataset/ThermEval-D/Thermal_31,Chest,left,32.56025641025641
Dataset/ThermEval-D/Thermal_31,Chest,right,32.755624795014754
Dataset/ThermEval-D/Thermal_31,Forehead,left,33.9187165775401
Dataset/ThermEval-D/Thermal_31,Forehead,right,34.58571428571429
Dataset/ThermEval-D/Thermal_31,Nose,left,33.584285714285706
Dataset/ThermEval-D/Thermal_31,Nose,right,34.618
Dataset/ThermEval-D/Thermal_219,Chest,left,31.96636255454185
Dataset/ThermEval-D/Thermal_219,Chest,right,30.676492330438
Dataset/ThermEval-D/Thermal_219,Forehead,left,32.09618644067796
Dataset/ThermEval-D/Thermal_219,Forehead,right,34.46254071661238
Dataset/ThermEval-D/Thermal_131,Chest,left,31.43027568922305
Dataset/ThermEval-D/Thermal_131,Chest,right,31.41692307692308
Dataset/ThermEval-D/Thermal_131,Forehead,left,33.099999999999994
Dataset/ThermEval-D/Thermal_131,Forehead,right,32.72577962577962
Dataset/ThermEval-D/Thermal_131,Nose,left,31.61307692307692
Dataset/ThermEval-D/Thermal_131,Nose,right,33.47727272727273
Dataset/ThermEval-D/Thermal_9,Chest,left,27.438297872340424
Dataset/ThermEval-D/Thermal_9,Chest,right,28.626056782334388
Dataset/ThermEval-D/Thermal_9,Forehead,left,31.6311475409836
Dataset/ThermEval-D/Thermal_9,Forehead,right,30.715966386554616
Dataset/ThermEval-D/Thermal_9,Nose,left,30.416666666666664
Dataset/ThermEval-D/Thermal_9,Nose,right,29.845454545454544
Dataset/ThermEval-D/Thermal_203,Chest,left,31.307006920415223
Dataset/ThermEval-D/Thermal_203,Chest,right,32.01784812584968
Dataset/ThermEval-D/Thermal_203,Forehead,left,30.6866028708134
Dataset/ThermEval-D/Thermal_203,Forehead,right,33.339112903225804
Dataset/ThermEval-D/Thermal_203,Nose,left,31.33793103448276
Dataset/ThermEval-D/Thermal_203,Nose,right,33.29375
Dataset/ThermEval-D/Thermal_35,Nose,left,33.13939393939393
Dataset/ThermEval-D/Thermal_35,Nose,right,33.47714285714285
Dataset/ThermEval-D/Thermal_35,Forehead,left,33.27362637362638
Dataset/ThermEval-D/Thermal_35,Forehead,right,34.03392857142857
Dataset/ThermEval-D/Thermal_35,Chest,left,31.69502793296089
Dataset/ThermEval-D/Thermal_35,Chest,right,33.22125850340136
Dataset/ThermEval-D/Thermal_85,Chest,left,29.43810835629017
Dataset/ThermEval-D/Thermal_85,Chest,right,30.067954545454544
Dataset/ThermEval-D/Thermal_85,Nose,left,31.679487179487182
Dataset/ThermEval-D/Thermal_85,Nose,right,30.53333333333334
Dataset/ThermEval-D/Thermal_85,Forehead,left,31.359504132231404
Dataset/ThermEval-D/Thermal_85,Forehead,right,33.833050847457635
Dataset/ThermEval-D/Thermal_8,Nose,left,31.670731707317067
Dataset/ThermEval-D/Thermal_8,Nose,right,28.548148148148147
Dataset/ThermEval-D/Thermal_8,Forehead,left,31.15419354838709
Dataset/ThermEval-D/Thermal_8,Forehead,right,32.08181818181818
Dataset/ThermEval-D/Thermal_8,Chest,left,28.03530560982417
Dataset/ThermEval-D/Thermal_8,Chest,right,28.501317715959
Dataset/ThermEval-D/Thermal_231,Forehead,left,33.880451127819555
Dataset/ThermEval-D/Thermal_231,Forehead,right,34.21878172588833
Dataset/ThermEval-D/Thermal_231,Nose,left,33.76956521739131
Dataset/ThermEval-D/Thermal_231,Nose,right,34.0
Dataset/ThermEval-D/Thermal_151,Forehead,left,33.629375
Dataset/ThermEval-D/Thermal_151,Forehead,right,32.63821428571429
Dataset/ThermEval-D/Thermal_42,Chest,left,32.737890295358646
Dataset/ThermEval-D/Thermal_42,Chest,right,32.152831783601016
Dataset/ThermEval-D/Thermal_42,Forehead,left,32.95532994923858
Dataset/ThermEval-D/Thermal_42,Forehead,right,33.0497005988024
Dataset/ThermEval-D/Thermal_42,Nose,left,33.1955223880597
Dataset/ThermEval-D/Thermal_42,Nose,right,33.480645161290326
Dataset/ThermEval-D/Thermal_204,Chest,left,32.46749923850137
Dataset/ThermEval-D/Thermal_204,Chest,right,34.01066433566433
Dataset/ThermEval-D/Thermal_204,Forehead,left,32.59567307692308
Dataset/ThermEval-D/Thermal_204,Forehead,right,34.411864406779664
Dataset/ThermEval-D/Thermal_84,Nose,left,29.24814814814815
Dataset/ThermEval-D/Thermal_84,Nose,right,29.45
Dataset/ThermEval-D/Thermal_84,Forehead,left,32.99501915708812
Dataset/ThermEval-D/Thermal_84,Forehead,right,31.66677966101696
Dataset/ThermEval-D/Thermal_84,Chest,left,29.48450426789232
Dataset/ThermEval-D/Thermal_84,Chest,right,29.639086892488955
Dataset/ThermEval-D/Thermal_230,Nose,left,34.22577639751553
Dataset/ThermEval-D/Thermal_230,Nose,right,33.0176
Dataset/ThermEval-D/Thermal_230,Forehead,left,32.62211328976035
Dataset/ThermEval-D/Thermal_230,Forehead,right,34.302540415704385
Dataset/ThermEval-D/Thermal_230,Chest,left,32.1064526695054
Dataset/ThermEval-D/Thermal_230,Chest,right,31.52484410077325
Dataset/ThermEval-D/Thermal_105,Chest,left,31.684572230014027
Dataset/ThermEval-D/Thermal_105,Chest,right,32.14966645147407
Dataset/ThermEval-D/Thermal_105,Nose,left,33.78508771929824
Dataset/ThermEval-D/Thermal_105,Nose,right,34.310843373493974
Dataset/ThermEval-D/Thermal_105,Forehead,left,33.05402298850575
Dataset/ThermEval-D/Thermal_105,Forehead,right,32.23429752066115
Dataset/ThermEval-D/Thermal_138,Chest,left,31.188183298441498
Dataset/ThermEval-D/Thermal_138,Chest,right,31.586656934306564
Dataset/ThermEval-D/Thermal_138,Forehead,left,33.080487804878054
Dataset/ThermEval-D/Thermal_138,Forehead,right,34.35015479876161
Dataset/ThermEval-D/Thermal_138,Nose,left,33.48313253012048
Dataset/ThermEval-D/Thermal_138,Nose,right,33.039759036144574
Dataset/ThermEval-D/Thermal_33,Chest,left,32.681931112365895
Dataset/ThermEval-D/Thermal_33,Chest,right,32.26995666827155
Dataset/ThermEval-D/Thermal_33,Nose,left,35.016000000000005
Dataset/ThermEval-D/Thermal_33,Nose,right,33.65686274509804
Dataset/ThermEval-D/Thermal_33,Forehead,left,33.103597122302155
Dataset/ThermEval-D/Thermal_33,Forehead,right,32.20842105263157
Dataset/ThermEval-D/Thermal_7,Chest,left,29.120723684210528
Dataset/ThermEval-D/Thermal_7,Chest,right,28.650651607298
Dataset/ThermEval-D/Thermal_7,Nose,left,31.07894736842105
Dataset/ThermEval-D/Thermal_7,Nose,right,32.24848484848485
Dataset/ThermEval-D/Thermal_7,Forehead,left,31.031884057971013
Dataset/ThermEval-D/Thermal_7,Forehead,right,30.538235294117644
Dataset/ThermEval-D/Thermal_26,Nose,left,33.86933333333334
Dataset/ThermEval-D/Thermal_26,Nose,right,34.42916666666667
Dataset/ThermEval-D/Thermal_26,Forehead,left,32.36181818181819
Dataset/ThermEval-D/Thermal_26,Forehead,right,32.425
Dataset/ThermEval-D/Thermal_234,Nose,left,33.17407407407407
Dataset/ThermEval-D/Thermal_234,Nose,right,33.54040404040404
Dataset/ThermEval-D/Thermal_228,Forehead,left,33.518490566037734
Dataset/ThermEval-D/Thermal_228,Forehead,right,35.1232044198895
Dataset/ThermEval-D/Thermal_228,Nose,left,34.93469387755102
Dataset/ThermEval-D/Thermal_228,Nose,right,34.101492537313426
Dataset/ThermEval-D/Thermal_228,Chest,left,33.03744465528147
Dataset/ThermEval-D/Thermal_228,Chest,right,32.87170854271356
Dataset/ThermEval-D/Thermal_23,Chest,left,32.2082211942809
Dataset/ThermEval-D/Thermal_23,Chest,right,30.96364836823241
Dataset/ThermEval-D/Thermal_23,Nose,left,32.4079207920792
Dataset/ThermEval-D/Thermal_23,Nose,right,33.90317460317461
Dataset/ThermEval-D/Thermal_23,Forehead,left,31.1515625
Dataset/ThermEval-D/Thermal_23,Forehead,right,32.74933333333333
Dataset/ThermEval-D/Thermal_47,Chest,left,29.64436794271551
Dataset/ThermEval-D/Thermal_47,Chest,right,30.226076636147845
Dataset/ThermEval-D/Thermal_47,Nose,left,33.93
Dataset/ThermEval-D/Thermal_47,Nose,right,34.117999999999995
Dataset/ThermEval-D/Thermal_47,Forehead,left,32.205653710247354
Dataset/ThermEval-D/Thermal_47,Forehead,right,33.6968253968254
Dataset/ThermEval-D/Thermal_24,Chest,left,33.36368760064412
Dataset/ThermEval-D/Thermal_24,Chest,right,32.90311614730878
Dataset/ThermEval-D/Thermal_24,Nose,left,33.96969696969697
Dataset/ThermEval-D/Thermal_24,Nose,right,34.68333333333333
Dataset/ThermEval-D/Thermal_24,Forehead,left,33.895789473684204
Dataset/ThermEval-D/Thermal_24,Forehead,right,33.702173913043474
Dataset/ThermEval-D/Thermal_2,Nose,left,32.48270676691728
Dataset/ThermEval-D/Thermal_2,Nose,right,31.39423076923077
Dataset/ThermEval-D/Thermal_2,Chest,left,27.80537414965986
Dataset/ThermEval-D/Thermal_2,Chest,right,28.15216836734694
Dataset/ThermEval-D/Thermal_103,Chest,left,31.83244005641749
Dataset/ThermEval-D/Thermal_103,Chest,right,31.901690573770487
Dataset/ThermEval-D/Thermal_103,Forehead,left,34.07361111111111
Dataset/ThermEval-D/Thermal_103,Forehead,right,33.380861244019144
Dataset/ThermEval-D/Thermal_103,Nose,left,34.464285714285715
Dataset/ThermEval-D/Thermal_103,Nose,right,34.377272727272725
Dataset/ThermEval-D/Thermal_220,Chest,left,32.10517067003792
Dataset/ThermEval-D/Thermal_220,Chest,right,30.56259969455286
Dataset/ThermEval-D/Thermal_220,Forehead,left,31.78737060041408
Dataset/ThermEval-D/Thermal_220,Forehead,right,34.633485193621866
Dataset/ThermEval-D/Thermal_220,Nose,left,33.35436893203884
Dataset/ThermEval-D/Thermal_220,Nose,right,34.71317365269461
Dataset/ThermEval-D/Thermal_202,Chest,left,31.156840177870784
Dataset/ThermEval-D/Thermal_202,Chest,right,31.86987595983461
Dataset/ThermEval-D/Thermal_202,Forehead,left,30.88387096774194
Dataset/ThermEval-D/Thermal_202,Forehead,right,33.56956521739131
Dataset/ThermEval-D/Thermal_150,Chest,left,32.238222923238695
Dataset/ThermEval-D/Thermal_150,Chest,right,31.624072052401743
Dataset/ThermEval-D/Thermal_150,Forehead,left,33.76503067484663
Dataset/ThermEval-D/Thermal_150,Forehead,right,32.569503546099284
Dataset/ThermEval-D/Thermal_34,Forehead,left,32.28489583333334
Dataset/ThermEval-D/Thermal_34,Forehead,right,30.84032258064516
Dataset/ThermEval-D/Thermal_34,Nose,left,33.905454545454546
Dataset/ThermEval-D/Thermal_34,Nose,right,32.31739130434782
Dataset/ThermEval-D/Thermal_34,Chest,left,31.491059431524548
Dataset/ThermEval-D/Thermal_34,Chest,right,31.0375350140056
Dataset/ThermEval-D/Thermal_235,Nose,left,32.94318181818182
Dataset/ThermEval-D/Thermal_235,Nose,right,34.16086956521739
Dataset/ThermEval-D/Thermal_175,Forehead,left,33.39526066350711
Dataset/ThermEval-D/Thermal_175,Forehead,right,33.65611285266458
Dataset/ThermEval-D/Thermal_229,Chest,left,32.15773860705073
Dataset/ThermEval-D/Thermal_229,Chest,right,31.887638580931267
Dataset/ThermEval-D/Thermal_229,Nose,left,34.44675925925926
Dataset/ThermEval-D/Thermal_229,Nose,right,33.333928571428565
Dataset/ThermEval-D/Thermal_229,Forehead,left,33.01693811074919
Dataset/ThermEval-D/Thermal_229,Forehead,right,34.619565217391305
Dataset/ThermEval-D/Thermal_201,Chest,left,31.55890688259109
Dataset/ThermEval-D/Thermal_201,Chest,right,32.134656488549616
Dataset/ThermEval-D/Thermal_201,Forehead,left,31.494444444444444
Dataset/ThermEval-D/Thermal_201,Forehead,right,34.17272727272727
