tiff_file,distance,category,ground_truth
Dataset/ThermEval-D/Thermal_388,2ft,Person,33.627037
Dataset/ThermEval-D/Thermal_388,2ft,Chest,33.57827
Dataset/ThermEval-D/Thermal_388,2ft,Nose,35.409477
Dataset/ThermEval-D/Thermal_332,2ft,Person,33.753056
Dataset/ThermEval-D/Thermal_332,2ft,Forehead,34.876167
Dataset/ThermEval-D/Thermal_332,2ft,Nose,36.6507
Dataset/ThermEval-D/Thermal_332,2ft,Chest,33.55203
Dataset/ThermEval-D/Thermal_355,6ft,Person,32.20693
Dataset/ThermEval-D/Thermal_355,6ft,Chest,31.64027
Dataset/ThermEval-D/Thermal_355,6ft,Nose,34.112503
Dataset/ThermEval-D/Thermal_340,2ft,Person,32.92681
Dataset/ThermEval-D/Thermal_340,2ft,Forehead,34.247425
Dataset/ThermEval-D/Thermal_340,2ft,Nose,35.345413
Dataset/ThermEval-D/Thermal_340,2ft,Chest,32.540733
Dataset/ThermEval-D/Thermal_365,10ft,Chest,31.59653
Dataset/ThermEval-D/Thermal_365,10ft,Person,32.14371
Dataset/ThermEval-D/Thermal_335,2ft,Person,31.953297
Dataset/ThermEval-D/Thermal_335,2ft,Nose,33.781425
Dataset/ThermEval-D/Thermal_335,2ft,Forehead,33.11749
Dataset/ThermEval-D/Thermal_335,2ft,Chest,31.727505
Dataset/ThermEval-D/Thermal_384,2ft,Person,33.886803
Dataset/ThermEval-D/Thermal_384,2ft,Forehead,34.67624
Dataset/ThermEval-D/Thermal_384,2ft,Nose,35.908875
Dataset/ThermEval-D/Thermal_384,2ft,Chest,33.75305
Dataset/ThermEval-D/Thermal_382,2ft,Forehead,34.94483
Dataset/ThermEval-D/Thermal_382,2ft,Chest,34.161804
Dataset/ThermEval-D/Thermal_382,2ft,Person,34.303604
Dataset/ThermEval-D/Thermal_381,2ft,Person,33.4246
Dataset/ThermEval-D/Thermal_381,2ft,Chest,33.227535
Dataset/ThermEval-D/Thermal_381,2ft,Nose,34.689575
Dataset/ThermEval-D/Thermal_362,10ft,Forehead,34.94434
Dataset/ThermEval-D/Thermal_362,10ft,Chest,32.877213
Dataset/ThermEval-D/Thermal_362,10ft,Person,33.51222
Dataset/ThermEval-D/Thermal_400,6ft,Forehead,34.210682
Dataset/ThermEval-D/Thermal_400,6ft,Chest,32.345768
Dataset/ThermEval-D/Thermal_400,6ft,Person,32.381454
Dataset/ThermEval-D/Thermal_392,6ft,Person,33.319717
Dataset/ThermEval-D/Thermal_392,6ft,Chest,33.456062
Dataset/ThermEval-D/Thermal_392,6ft,Forehead,35.181553
Dataset/ThermEval-D/Thermal_413,10ft,Person,31.80395
Dataset/ThermEval-D/Thermal_413,10ft,Chest,31.983318
Dataset/ThermEval-D/Thermal_413,10ft,Forehead,33.4058
Dataset/ThermEval-D/Thermal_372,10ft,Person,31.346077
Dataset/ThermEval-D/Thermal_372,10ft,Nose,32.675426
Dataset/ThermEval-D/Thermal_372,10ft,Forehead,32.56153
Dataset/ThermEval-D/Thermal_372,10ft,Chest,30.757812
Dataset/ThermEval-D/Thermal_373,10ft,Person,31.3171
Dataset/ThermEval-D/Thermal_373,10ft,Chest,30.673079
Dataset/ThermEval-D/Thermal_373,10ft,Nose,31.99285
Dataset/ThermEval-D/Thermal_373,10ft,Forehead,32.316795
Dataset/ThermEval-D/Thermal_374,10ft,Person,31.918293
Dataset/ThermEval-D/Thermal_374,10ft,Nose,32.99167
Dataset/ThermEval-D/Thermal_374,10ft,Forehead,32.987015
Dataset/ThermEval-D/Thermal_374,10ft,Chest,31.343508
Dataset/ThermEval-D/Thermal_376,2ft,Person,35.184803
Dataset/ThermEval-D/Thermal_376,2ft,Chest,35.14701
Dataset/ThermEval-D/Thermal_376,2ft,Forehead,35.597374
Dataset/ThermEval-D/Thermal_376,2ft,Nose,36.66452
Dataset/ThermEval-D/Thermal_390,2ft,Person,33.595184
Dataset/ThermEval-D/Thermal_390,2ft,Forehead,34.24473
Dataset/ThermEval-D/Thermal_390,2ft,Chest,33.462692
Dataset/ThermEval-D/Thermal_409,10ft,Person,32.24325
Dataset/ThermEval-D/Thermal_409,10ft,Nose,32.29444
Dataset/ThermEval-D/Thermal_409,10ft,Chest,32.4455
Dataset/ThermEval-D/Thermal_389,2ft,Person,33.609962
Dataset/ThermEval-D/Thermal_389,2ft,Chest,33.4931
Dataset/ThermEval-D/Thermal_389,2ft,Nose,35.5036
Dataset/ThermEval-D/Thermal_359,6ft,Person,32.296303
Dataset/ThermEval-D/Thermal_359,6ft,Forehead,33.23956
Dataset/ThermEval-D/Thermal_359,6ft,Chest,31.82986
Dataset/ThermEval-D/Thermal_386,2ft,Person,33.30947
Dataset/ThermEval-D/Thermal_386,2ft,Nose,34.02906
Dataset/ThermEval-D/Thermal_386,2ft,Forehead,34.080833
Dataset/ThermEval-D/Thermal_386,2ft,Chest,33.27395
Dataset/ThermEval-D/Thermal_420,10ft,Forehead,33.694363
Dataset/ThermEval-D/Thermal_420,10ft,Chest,32.528954
Dataset/ThermEval-D/Thermal_420,10ft,Person,32.32762
Dataset/ThermEval-D/Thermal_336,2ft,Person,33.502106
Dataset/ThermEval-D/Thermal_336,2ft,Nose,36.410423
Dataset/ThermEval-D/Thermal_336,2ft,Forehead,34.74434
Dataset/ThermEval-D/Thermal_336,2ft,Chest,33.215816
Dataset/ThermEval-D/Thermal_348,6ft,Nose,34.973045
Dataset/ThermEval-D/Thermal_348,6ft,Forehead,34.515358
Dataset/ThermEval-D/Thermal_348,6ft,Chest,32.738415
Dataset/ThermEval-D/Thermal_348,6ft,Person,33.25625
Dataset/ThermEval-D/Thermal_366,10ft,Person,32.003464
Dataset/ThermEval-D/Thermal_366,10ft,Chest,31.361586
Dataset/ThermEval-D/Thermal_349,6ft,Person,33.24039
Dataset/ThermEval-D/Thermal_349,6ft,Chest,32.762783
Dataset/ThermEval-D/Thermal_349,6ft,Forehead,34.361786
Dataset/ThermEval-D/Thermal_370,10ft,Person,31.448538
Dataset/ThermEval-D/Thermal_370,10ft,Chest,30.862251
Dataset/ThermEval-D/Thermal_360,6ft,Person,32.209766
Dataset/ThermEval-D/Thermal_360,6ft,Nose,33.831245
Dataset/ThermEval-D/Thermal_360,6ft,Forehead,33.30408
Dataset/ThermEval-D/Thermal_360,6ft,Chest,31.777071
Dataset/ThermEval-D/Thermal_337,2ft,Person,33.195297
Dataset/ThermEval-D/Thermal_337,2ft,Forehead,34.244854
Dataset/ThermEval-D/Thermal_337,2ft,Nose,36.37051
Dataset/ThermEval-D/Thermal_337,2ft,Chest,32.835674
Dataset/ThermEval-D/Thermal_375,10ft,Forehead,33.34901
Dataset/ThermEval-D/Thermal_375,10ft,Chest,31.362377
Dataset/ThermEval-D/Thermal_375,10ft,Person,32.010536
Dataset/ThermEval-D/Thermal_417,10ft,Nose,34.176926
Dataset/ThermEval-D/Thermal_417,10ft,Forehead,33.59798
Dataset/ThermEval-D/Thermal_417,10ft,Chest,32.70254
Dataset/ThermEval-D/Thermal_417,10ft,Person,32.505478
Dataset/ThermEval-D/Thermal_350,6ft,Person,33.200924
Dataset/ThermEval-D/Thermal_350,6ft,Nose,34.72797
Dataset/ThermEval-D/Thermal_350,6ft,Forehead,34.50024
Dataset/ThermEval-D/Thermal_350,6ft,Chest,32.736233
Dataset/ThermEval-D/Thermal_395,6ft,Person,33.068893
Dataset/ThermEval-D/Thermal_395,6ft,Nose,33.93522
Dataset/ThermEval-D/Thermal_395,6ft,Forehead,34.079803
Dataset/ThermEval-D/Thermal_395,6ft,Chest,33.059734
Dataset/ThermEval-D/Thermal_377,2ft,Nose,35.24256
Dataset/ThermEval-D/Thermal_377,2ft,Forehead,34.912224
Dataset/ThermEval-D/Thermal_377,2ft,Chest,33.810516
Dataset/ThermEval-D/Thermal_377,2ft,Person,33.82813
Dataset/ThermEval-D/Thermal_371,10ft,Person,31.44087
Dataset/ThermEval-D/Thermal_371,10ft,Chest,30.948275
Dataset/ThermEval-D/Thermal_371,10ft,Forehead,32.646873
Dataset/ThermEval-D/Thermal_415,10ft,Person,31.604036
Dataset/ThermEval-D/Thermal_415,10ft,Chest,31.800587
Dataset/ThermEval-D/Thermal_408,10ft,Person,32.476448
Dataset/ThermEval-D/Thermal_408,10ft,Forehead,34.16818
Dataset/ThermEval-D/Thermal_408,10ft,Chest,32.618305
Dataset/ThermEval-D/Thermal_353,6ft,Nose,34.18836
Dataset/ThermEval-D/Thermal_353,6ft,Forehead,33.558987
Dataset/ThermEval-D/Thermal_353,6ft,Chest,31.965252
Dataset/ThermEval-D/Thermal_353,6ft,Person,32.522408
Dataset/ThermEval-D/Thermal_410,10ft,Person,32.149456
Dataset/ThermEval-D/Thermal_410,10ft,Chest,32.281685
Dataset/ThermEval-D/Thermal_410,10ft,Forehead,34.137157
Dataset/ThermEval-D/Thermal_354,6ft,Person,32.297398
Dataset/ThermEval-D/Thermal_354,6ft,Chest,31.746758
Dataset/ThermEval-D/Thermal_354,6ft,Forehead,33.279224
Dataset/ThermEval-D/Thermal_272,10ft,Person,35.06751
Dataset/ThermEval-D/Thermal_272,10ft,Forehead,36.314278
Dataset/ThermEval-D/Thermal_272,10ft,Nose,36.65
Dataset/ThermEval-D/Thermal_272,10ft,Chest,35.097225
Dataset/ThermEval-D/Thermal_255,2ft,Person,34.293278
Dataset/ThermEval-D/Thermal_255,2ft,Forehead,35.84046
Dataset/ThermEval-D/Thermal_255,2ft,Chest,34.21764
Dataset/ThermEval-D/Thermal_297,2ft,Person,33.21393
Dataset/ThermEval-D/Thermal_297,2ft,Forehead,35.49479
Dataset/ThermEval-D/Thermal_297,2ft,Nose,35.78171
Dataset/ThermEval-D/Thermal_297,2ft,Chest,33.03294
Dataset/ThermEval-D/Thermal_320,10ft,Person,31.93257
Dataset/ThermEval-D/Thermal_320,10ft,Chest,31.65604
Dataset/ThermEval-D/Thermal_265,6ft,Person,32.973305
Dataset/ThermEval-D/Thermal_265,6ft,Person,32.968864
Dataset/ThermEval-D/Thermal_265,6ft,Forehead,34.04572
Dataset/ThermEval-D/Thermal_265,6ft,Chest,32.960644
Dataset/ThermEval-D/Thermal_301,6ft,Person,33.96582
Dataset/ThermEval-D/Thermal_301,6ft,Chest,33.582813
Dataset/ThermEval-D/Thermal_327,10ft,Person,31.970135
Dataset/ThermEval-D/Thermal_327,10ft,Chest,31.706577
Dataset/ThermEval-D/Thermal_287,2ft,Person,33.269794
Dataset/ThermEval-D/Thermal_287,2ft,Chest,33.25337
Dataset/ThermEval-D/Thermal_287,2ft,Forehead,35.10203
Dataset/ThermEval-D/Thermal_287,2ft,Nose,35.257793
Dataset/ThermEval-D/Thermal_304,6ft,Person,33.635853
Dataset/ThermEval-D/Thermal_304,6ft,Chest,33.522842
Dataset/ThermEval-D/Thermal_304,6ft,Forehead,35.653374
Dataset/ThermEval-D/Thermal_258,6ft,Person,34.647266
Dataset/ThermEval-D/Thermal_258,6ft,Chest,34.574062
Dataset/ThermEval-D/Thermal_289,2ft,Person,32.3569
Dataset/ThermEval-D/Thermal_289,2ft,Chest,32.3745
Dataset/ThermEval-D/Thermal_289,2ft,Forehead,33.98654
Dataset/ThermEval-D/Thermal_289,2ft,Nose,34.53445
Dataset/ThermEval-D/Thermal_279,10ft,Person,34.13764
Dataset/ThermEval-D/Thermal_279,10ft,Chest,34.05958
Dataset/ThermEval-D/Thermal_313,6ft,Person,32.791325
Dataset/ThermEval-D/Thermal_313,6ft,Chest,32.610264
Dataset/ThermEval-D/Thermal_259,6ft,Person,34.32908
Dataset/ThermEval-D/Thermal_259,6ft,Forehead,35.49244
Dataset/ThermEval-D/Thermal_259,6ft,Nose,35.68036
Dataset/ThermEval-D/Thermal_259,6ft,Chest,34.329475
Dataset/ThermEval-D/Thermal_263,6ft,Person,33.46648
Dataset/ThermEval-D/Thermal_263,6ft,Chest,33.399563
Dataset/ThermEval-D/Thermal_302,6ft,Person,33.82989
Dataset/ThermEval-D/Thermal_302,6ft,Chest,33.55084
Dataset/ThermEval-D/Thermal_271,10ft,Person,35.18363
Dataset/ThermEval-D/Thermal_271,10ft,Forehead,36.70156
Dataset/ThermEval-D/Thermal_271,10ft,Nose,36.922916
Dataset/ThermEval-D/Thermal_271,10ft,Chest,35.348644
Dataset/ThermEval-D/Thermal_305,6ft,Person,33.665108
Dataset/ThermEval-D/Thermal_305,6ft,Forehead,35.154514
Dataset/ThermEval-D/Thermal_305,6ft,Chest,33.567787
Dataset/ThermEval-D/Thermal_312,6ft,Person,32.905693
Dataset/ThermEval-D/Thermal_312,6ft,Chest,32.705772
Dataset/ThermEval-D/Thermal_248,2ft,Person,34.251026
Dataset/ThermEval-D/Thermal_248,2ft,Forehead,35.217854
Dataset/ThermEval-D/Thermal_248,2ft,Nose,35.215275
Dataset/ThermEval-D/Thermal_248,2ft,Chest,34.1533
Dataset/ThermEval-D/Thermal_292,2ft,Person,33.72147
Dataset/ThermEval-D/Thermal_292,2ft,Forehead,35.73513
Dataset/ThermEval-D/Thermal_292,2ft,Chest,33.610695
Dataset/ThermEval-D/Thermal_311,6ft,Person,32.8343
Dataset/ThermEval-D/Thermal_311,6ft,Chest,32.70161
Dataset/ThermEval-D/Thermal_251,2ft,Person,34.607906
Dataset/ThermEval-D/Thermal_251,2ft,Forehead,35.782146
Dataset/ThermEval-D/Thermal_251,2ft,Nose,35.54642
Dataset/ThermEval-D/Thermal_251,2ft,Chest,34.607502
Dataset/ThermEval-D/Thermal_274,10ft,Person,34.32095
Dataset/ThermEval-D/Thermal_274,10ft,Chest,34.332863
Dataset/ThermEval-D/Thermal_274,10ft,Nose,35.75972
Dataset/ThermEval-D/Thermal_257,6ft,Person,34.743385
Dataset/ThermEval-D/Thermal_257,6ft,Forehead,35.869316
Dataset/ThermEval-D/Thermal_257,6ft,Nose,36.1625
Dataset/ThermEval-D/Thermal_257,6ft,Chest,34.762535
Dataset/ThermEval-D/Thermal_246,2ft,Person,34.685097
Dataset/ThermEval-D/Thermal_246,2ft,Chest,34.587303
Dataset/ThermEval-D/Thermal_246,2ft,Nose,35.562496
Dataset/ThermEval-D/Thermal_246,2ft,Forehead,35.81212
Dataset/ThermEval-D/Thermal_308,6ft,Person,33.472202
Dataset/ThermEval-D/Thermal_308,6ft,Chest,33.174423
Dataset/ThermEval-D/Thermal_290,2ft,Person,31.842087
Dataset/ThermEval-D/Thermal_290,2ft,Chest,31.846357
Dataset/ThermEval-D/Thermal_290,2ft,Forehead,33.348633
Dataset/ThermEval-D/Thermal_290,2ft,Nose,33.446697
Dataset/ThermEval-D/Thermal_315,6ft,Person,32.672276
Dataset/ThermEval-D/Thermal_315,6ft,Chest,32.44212
Dataset/ThermEval-D/Thermal_273,10ft,Person,34.823048
Dataset/ThermEval-D/Thermal_273,10ft,Chest,34.857086
Dataset/ThermEval-D/Thermal_284,10ft,Person,32.998943
Dataset/ThermEval-D/Thermal_284,10ft,Chest,32.874207
Dataset/ThermEval-D/Thermal_267,6ft,Person,34.363506
Dataset/ThermEval-D/Thermal_267,6ft,Chest,34.31253
Dataset/ThermEval-D/Thermal_267,6ft,Forehead,35.641098
Dataset/ThermEval-D/Thermal_269,6ft,Person,34.098507
Dataset/ThermEval-D/Thermal_269,6ft,Chest,34.04385
Dataset/ThermEval-D/Thermal_269,6ft,Forehead,35.577774
Dataset/ThermEval-D/Thermal_291,2ft,Person,33.89963
Dataset/ThermEval-D/Thermal_291,2ft,Forehead,35.649902
Dataset/ThermEval-D/Thermal_291,2ft,Chest,33.772587
Dataset/ThermEval-D/Thermal_291,2ft,Nose,33.92528
Dataset/ThermEval-D/Thermal_281,10ft,Person,33.606625
Dataset/ThermEval-D/Thermal_281,10ft,Chest,33.54443
Dataset/ThermEval-D/Thermal_325,10ft,Person,31.410038
Dataset/ThermEval-D/Thermal_325,10ft,Chest,31.036915
Dataset/ThermEval-D/Thermal_288,2ft,Person,32.905914
Dataset/ThermEval-D/Thermal_288,2ft,Chest,32.87573
Dataset/ThermEval-D/Thermal_288,2ft,Forehead,34.93307
Dataset/ThermEval-D/Thermal_288,2ft,Nose,35.295475
Dataset/ThermEval-D/Thermal_275,10ft,Person,33.881443
Dataset/ThermEval-D/Thermal_275,10ft,Chest,33.852062
Dataset/ThermEval-D/Thermal_275,10ft,Forehead,35.297916
Dataset/ThermEval-D/Thermal_294,2ft,Person,33.13489
Dataset/ThermEval-D/Thermal_294,2ft,Forehead,34.89312
Dataset/ThermEval-D/Thermal_294,2ft,Chest,32.942265
Dataset/ThermEval-D/Thermal_328,10ft,Person,31.854773
Dataset/ThermEval-D/Thermal_328,10ft,Chest,31.66667
Dataset/ThermEval-D/Thermal_276,10ft,Person,33.336082
Dataset/ThermEval-D/Thermal_276,10ft,Chest,33.313778
Dataset/ThermEval-D/Thermal_324,10ft,Person,31.49802
Dataset/ThermEval-D/Thermal_324,10ft,Chest,31.203985
Dataset/ThermEval-D/Thermal_317,10ft,Person,33.04514
Dataset/ThermEval-D/Thermal_317,10ft,Chest,32.65182
Dataset/ThermEval-D/Thermal_317,10ft,Forehead,35.448483
Dataset/ThermEval-D/Thermal_278,10ft,Person,34.477436
Dataset/ThermEval-D/Thermal_278,10ft,Chest,34.36331
Dataset/ThermEval-D/Thermal_270,6ft,Person,34.065163
