tiff_file,category,ground_truth
Dataset/ThermEval-D/Thermal_363,forehead,"[0.45, 0.41, 0.49, 0.44]"
Dataset/ThermEval-D/Thermal_407,nose,"[0.48, 0.49, 0.49, 0.51]"
Dataset/ThermEval-D/Thermal_407,forehead,"[0.46, 0.46, 0.49, 0.48]"
Dataset/ThermEval-D/Thermal_407,chest,"[0.41, 0.53, 0.48, 0.65]"
Dataset/ThermEval-D/Thermal_407,person,"[0.36, 0.44, 0.51, 0.97]"
Dataset/ThermEval-D/Thermal_351,person,"[0.32, 0.36, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_351,chest,"[0.39, 0.52, 0.56, 0.74]"
Dataset/ThermEval-D/Thermal_351,forehead,"[0.44, 0.38, 0.5, 0.41]"
Dataset/ThermEval-D/Thermal_331,person,"[0.18, 0.2, 0.79, 0.99]"
Dataset/ThermEval-D/Thermal_331,forehead,"[0.4, 0.25, 0.52, 0.32]"
Dataset/ThermEval-D/Thermal_331,nose,"[0.44, 0.36, 0.49, 0.42]"
Dataset/ThermEval-D/Thermal_331,chest,"[0.32, 0.52, 0.62, 0.99]"
Dataset/ThermEval-D/Thermal_344,person,"[0.18, 0.24, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_344,nose,"[0.37, 0.44, 0.42, 0.5]"
Dataset/ThermEval-D/Thermal_344,forehead,"[0.37, 0.35, 0.43, 0.42]"
Dataset/ThermEval-D/Thermal_344,chest,"[0.32, 0.53, 0.62, 0.99]"
Dataset/ThermEval-D/Thermal_338,person,"[0.18, 0.26, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_338,nose,"[0.54, 0.36, 0.58, 0.41]"
Dataset/ThermEval-D/Thermal_338,forehead,"[0.47, 0.28, 0.55, 0.34]"
Dataset/ThermEval-D/Thermal_338,chest,"[0.32, 0.53, 0.62, 0.99]"
Dataset/ThermEval-D/Thermal_379,nose,"[0.43, 0.51, 0.46, 0.56]"
Dataset/ThermEval-D/Thermal_379,forehead,"[0.43, 0.4, 0.54, 0.47]"
Dataset/ThermEval-D/Thermal_379,chest,"[0.38, 0.61, 0.66, 0.99]"
Dataset/ThermEval-D/Thermal_379,person,"[0.23, 0.34, 0.77, 0.99]"
Dataset/ThermEval-D/Thermal_368,person,"[0.37, 0.41, 0.57, 0.98]"
Dataset/ThermEval-D/Thermal_368,chest,"[0.41, 0.5, 0.54, 0.64]"
Dataset/ThermEval-D/Thermal_397,person,"[0.3, 0.44, 0.6, 0.99]"
Dataset/ThermEval-D/Thermal_397,chest,"[0.41, 0.56, 0.57, 0.73]"
Dataset/ThermEval-D/Thermal_343,nose,"[0.54, 0.45, 0.59, 0.5]"
Dataset/ThermEval-D/Thermal_343,forehead,"[0.52, 0.34, 0.59, 0.39]"
Dataset/ThermEval-D/Thermal_343,chest,"[0.33, 0.53, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_343,person,"[0.18, 0.25, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_393,person,"[0.32, 0.42, 0.62, 0.99]"
Dataset/ThermEval-D/Thermal_393,nose,"[0.52, 0.49, 0.54, 0.51]"
Dataset/ThermEval-D/Thermal_393,forehead,"[0.48, 0.44, 0.53, 0.47]"
Dataset/ThermEval-D/Thermal_393,chest,"[0.4, 0.56, 0.56, 0.74]"
Dataset/ThermEval-D/Thermal_361,person,"[0.37, 0.4, 0.57, 0.98]"
Dataset/ThermEval-D/Thermal_361,chest,"[0.41, 0.51, 0.54, 0.64]"
Dataset/ThermEval-D/Thermal_361,forehead,"[0.46, 0.41, 0.51, 0.43]"
Dataset/ThermEval-D/Thermal_414,person,"[0.36, 0.45, 0.51, 0.97]"
Dataset/ThermEval-D/Thermal_414,chest,"[0.4, 0.53, 0.49, 0.65]"
Dataset/ThermEval-D/Thermal_367,person,"[0.37, 0.4, 0.57, 0.98]"
Dataset/ThermEval-D/Thermal_367,chest,"[0.42, 0.51, 0.53, 0.66]"
Dataset/ThermEval-D/Thermal_339,person,"[0.18, 0.27, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_339,chest,"[0.33, 0.54, 0.63, 0.99]"
Dataset/ThermEval-D/Thermal_339,nose,"[0.4, 0.33, 0.43, 0.38]"
Dataset/ThermEval-D/Thermal_339,forehead,"[0.41, 0.29, 0.49, 0.33]"
Dataset/ThermEval-D/Thermal_387,nose,"[0.5, 0.65, 0.55, 0.7]"
Dataset/ThermEval-D/Thermal_387,chest,"[0.35, 0.62, 0.68, 0.99]"
Dataset/ThermEval-D/Thermal_387,person,"[0.23, 0.38, 0.78, 0.99]"
Dataset/ThermEval-D/Thermal_411,person,"[0.35, 0.44, 0.52, 0.97]"
Dataset/ThermEval-D/Thermal_411,chest,"[0.4, 0.53, 0.49, 0.64]"
Dataset/ThermEval-D/Thermal_406,person,"[0.36, 0.44, 0.51, 0.97]"
Dataset/ThermEval-D/Thermal_406,chest,"[0.4, 0.53, 0.49, 0.63]"
Dataset/ThermEval-D/Thermal_406,forehead,"[0.44, 0.45, 0.48, 0.48]"
Dataset/ThermEval-D/Thermal_398,nose,"[0.45, 0.48, 0.48, 0.51]"
Dataset/ThermEval-D/Thermal_398,forehead,"[0.47, 0.43, 0.52, 0.47]"
Dataset/ThermEval-D/Thermal_398,chest,"[0.41, 0.56, 0.58, 0.74]"
Dataset/ThermEval-D/Thermal_398,person,"[0.29, 0.43, 0.6, 1.0]"
Dataset/ThermEval-D/Thermal_345,person,"[0.17, 0.25, 0.79, 0.99]"
Dataset/ThermEval-D/Thermal_345,nose,"[0.34, 0.43, 0.38, 0.48]"
Dataset/ThermEval-D/Thermal_345,forehead,"[0.34, 0.34, 0.4, 0.41]"
Dataset/ThermEval-D/Thermal_345,chest,"[0.33, 0.54, 0.62, 0.99]"
Dataset/ThermEval-D/Thermal_364,person,"[0.37, 0.4, 0.58, 0.99]"
Dataset/ThermEval-D/Thermal_364,nose,"[0.42, 0.44, 0.44, 0.47]"
Dataset/ThermEval-D/Thermal_364,forehead,"[0.43, 0.42, 0.46, 0.45]"
Dataset/ThermEval-D/Thermal_364,chest,"[0.42, 0.51, 0.53, 0.63]"
Dataset/ThermEval-D/Thermal_378,forehead,"[0.55, 0.41, 0.63, 0.48]"
Dataset/ThermEval-D/Thermal_378,nose,"[0.61, 0.49, 0.65, 0.55]"
Dataset/ThermEval-D/Thermal_378,chest,"[0.39, 0.62, 0.67, 0.99]"
Dataset/ThermEval-D/Thermal_378,person,"[0.24, 0.33, 0.77, 0.99]"
Dataset/ThermEval-D/Thermal_404,person,"[0.33, 0.42, 0.65, 0.99]"
Dataset/ThermEval-D/Thermal_404,chest,"[0.38, 0.57, 0.54, 0.74]"
Dataset/ThermEval-D/Thermal_404,forehead,"[0.47, 0.47, 0.53, 0.52]"
Dataset/ThermEval-D/Thermal_399,person,"[0.33, 0.42, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_399,nose,"[0.5, 0.47, 0.53, 0.5]"
Dataset/ThermEval-D/Thermal_399,forehead,"[0.47, 0.43, 0.52, 0.47]"
Dataset/ThermEval-D/Thermal_399,chest,"[0.39, 0.56, 0.55, 0.73]"
Dataset/ThermEval-D/Thermal_401,person,"[0.29, 0.43, 0.6, 0.99]"
Dataset/ThermEval-D/Thermal_401,chest,"[0.42, 0.56, 0.58, 0.72]"
Dataset/ThermEval-D/Thermal_401,forehead,"[0.45, 0.48, 0.51, 0.52]"
Dataset/ThermEval-D/Thermal_342,forehead,"[0.47, 0.36, 0.58, 0.41]"
Dataset/ThermEval-D/Thermal_342,nose,"[0.52, 0.46, 0.56, 0.52]"
Dataset/ThermEval-D/Thermal_342,chest,"[0.32, 0.53, 0.61, 0.99]"
Dataset/ThermEval-D/Thermal_342,person,"[0.18, 0.25, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_356,person,"[0.32, 0.39, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_356,chest,"[0.39, 0.52, 0.55, 0.74]"
Dataset/ThermEval-D/Thermal_383,nose,"[0.43, 0.42, 0.47, 0.48]"
Dataset/ThermEval-D/Thermal_383,forehead,"[0.47, 0.36, 0.56, 0.45]"
Dataset/ThermEval-D/Thermal_383,chest,"[0.38, 0.62, 0.66, 0.97]"
Dataset/ThermEval-D/Thermal_383,person,"[0.25, 0.34, 0.76, 0.99]"
Dataset/ThermEval-D/Thermal_419,person,"[0.36, 0.45, 0.51, 0.97]"
Dataset/ThermEval-D/Thermal_419,chest,"[0.39, 0.52, 0.48, 0.64]"
Dataset/ThermEval-D/Thermal_396,person,"[0.29, 0.42, 0.61, 0.99]"
Dataset/ThermEval-D/Thermal_396,forehead,"[0.46, 0.44, 0.5, 0.48]"
Dataset/ThermEval-D/Thermal_396,nose,"[0.44, 0.49, 0.46, 0.52]"
Dataset/ThermEval-D/Thermal_396,chest,"[0.42, 0.56, 0.59, 0.74]"
Dataset/ThermEval-D/Thermal_380,chest,"[0.38, 0.6, 0.66, 0.99]"
Dataset/ThermEval-D/Thermal_380,nose,"[0.36, 0.53, 0.39, 0.58]"
Dataset/ThermEval-D/Thermal_380,person,"[0.24, 0.35, 0.76, 0.99]"
Dataset/ThermEval-D/Thermal_385,nose,"[0.61, 0.47, 0.65, 0.51]"
Dataset/ThermEval-D/Thermal_385,forehead,"[0.54, 0.39, 0.62, 0.46]"
Dataset/ThermEval-D/Thermal_385,chest,"[0.39, 0.61, 0.67, 0.99]"
Dataset/ThermEval-D/Thermal_385,person,"[0.23, 0.34, 0.78, 0.99]"
Dataset/ThermEval-D/Thermal_347,person,"[0.32, 0.36, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_347,forehead,"[0.47, 0.37, 0.52, 0.42]"
Dataset/ThermEval-D/Thermal_347,nose,"[0.51, 0.43, 0.53, 0.46]"
Dataset/ThermEval-D/Thermal_347,chest,"[0.39, 0.52, 0.55, 0.73]"
Dataset/ThermEval-D/Thermal_405,person,"[0.33, 0.42, 0.65, 0.99]"
Dataset/ThermEval-D/Thermal_405,chest,"[0.39, 0.56, 0.54, 0.74]"
Dataset/ThermEval-D/Thermal_405,forehead,"[0.43, 0.43, 0.5, 0.47]"
Dataset/ThermEval-D/Thermal_369,person,"[0.37, 0.4, 0.57, 0.98]"
Dataset/ThermEval-D/Thermal_369,chest,"[0.42, 0.5, 0.53, 0.66]"
Dataset/ThermEval-D/Thermal_418,forehead,"[0.44, 0.47, 0.49, 0.49]"
Dataset/ThermEval-D/Thermal_418,chest,"[0.4, 0.54, 0.49, 0.65]"
Dataset/ThermEval-D/Thermal_418,person,"[0.36, 0.44, 0.52, 0.97]"
Dataset/ThermEval-D/Thermal_346,person,"[0.32, 0.35, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_346,forehead,"[0.46, 0.38, 0.52, 0.42]"
Dataset/ThermEval-D/Thermal_346,chest,"[0.39, 0.52, 0.55, 0.75]"
Dataset/ThermEval-D/Thermal_416,person,"[0.36, 0.44, 0.52, 0.97]"
Dataset/ThermEval-D/Thermal_416,chest,"[0.4, 0.53, 0.49, 0.65]"
Dataset/ThermEval-D/Thermal_341,person,"[0.18, 0.25, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_341,forehead,"[0.41, 0.38, 0.53, 0.46]"
Dataset/ThermEval-D/Thermal_341,nose,"[0.44, 0.49, 0.49, 0.54]"
Dataset/ThermEval-D/Thermal_341,chest,"[0.32, 0.54, 0.61, 0.99]"
Dataset/ThermEval-D/Thermal_388,person,"[0.22, 0.35, 0.78, 0.99]"
Dataset/ThermEval-D/Thermal_388,chest,"[0.35, 0.6, 0.67, 0.99]"
Dataset/ThermEval-D/Thermal_388,nose,"[0.43, 0.59, 0.48, 0.63]"
Dataset/ThermEval-D/Thermal_332,person,"[0.18, 0.21, 0.79, 0.99]"
Dataset/ThermEval-D/Thermal_332,forehead,"[0.45, 0.26, 0.54, 0.33]"
Dataset/ThermEval-D/Thermal_332,nose,"[0.49, 0.36, 0.54, 0.42]"
Dataset/ThermEval-D/Thermal_332,chest,"[0.32, 0.53, 0.63, 0.99]"
Dataset/ThermEval-D/Thermal_355,person,"[0.31, 0.38, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_355,chest,"[0.39, 0.53, 0.55, 0.74]"
Dataset/ThermEval-D/Thermal_355,nose,"[0.41, 0.42, 0.44, 0.45]"
Dataset/ThermEval-D/Thermal_340,person,"[0.18, 0.27, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_340,forehead,"[0.4, 0.29, 0.46, 0.34]"
Dataset/ThermEval-D/Thermal_340,nose,"[0.37, 0.36, 0.41, 0.41]"
Dataset/ThermEval-D/Thermal_340,chest,"[0.32, 0.53, 0.61, 0.99]"
Dataset/ThermEval-D/Thermal_365,chest,"[0.42, 0.51, 0.53, 0.65]"
Dataset/ThermEval-D/Thermal_365,person,"[0.37, 0.4, 0.58, 0.98]"
Dataset/ThermEval-D/Thermal_335,person,"[0.18, 0.22, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_335,nose,"[0.37, 0.36, 0.41, 0.41]"
Dataset/ThermEval-D/Thermal_335,forehead,"[0.39, 0.28, 0.46, 0.33]"
Dataset/ThermEval-D/Thermal_335,chest,"[0.32, 0.52, 0.62, 0.99]"
Dataset/ThermEval-D/Thermal_384,person,"[0.23, 0.34, 0.78, 0.99]"
Dataset/ThermEval-D/Thermal_384,forehead,"[0.48, 0.36, 0.59, 0.42]"
Dataset/ThermEval-D/Thermal_384,nose,"[0.53, 0.42, 0.58, 0.48]"
Dataset/ThermEval-D/Thermal_384,chest,"[0.38, 0.61, 0.68, 0.98]"
Dataset/ThermEval-D/Thermal_382,forehead,"[0.45, 0.36, 0.57, 0.41]"
Dataset/ThermEval-D/Thermal_382,chest,"[0.38, 0.6, 0.66, 0.99]"
Dataset/ThermEval-D/Thermal_382,person,"[0.25, 0.34, 0.75, 0.99]"
Dataset/ThermEval-D/Thermal_381,person,"[0.24, 0.34, 0.75, 0.99]"
Dataset/ThermEval-D/Thermal_381,chest,"[0.38, 0.61, 0.66, 0.99]"
Dataset/ThermEval-D/Thermal_381,nose,"[0.42, 0.43, 0.48, 0.49]"
Dataset/ThermEval-D/Thermal_362,forehead,"[0.47, 0.41, 0.51, 0.44]"
Dataset/ThermEval-D/Thermal_362,chest,"[0.42, 0.5, 0.53, 0.65]"
Dataset/ThermEval-D/Thermal_362,person,"[0.37, 0.41, 0.57, 0.98]"
Dataset/ThermEval-D/Thermal_400,forehead,"[0.49, 0.44, 0.55, 0.48]"
Dataset/ThermEval-D/Thermal_400,chest,"[0.41, 0.57, 0.58, 0.72]"
Dataset/ThermEval-D/Thermal_400,person,"[0.3, 0.42, 0.6, 0.99]"
Dataset/ThermEval-D/Thermal_392,person,"[0.3, 0.42, 0.61, 0.99]"
Dataset/ThermEval-D/Thermal_392,chest,"[0.41, 0.56, 0.57, 0.73]"
Dataset/ThermEval-D/Thermal_392,forehead,"[0.48, 0.44, 0.54, 0.48]"
Dataset/ThermEval-D/Thermal_413,person,"[0.36, 0.44, 0.52, 0.97]"
Dataset/ThermEval-D/Thermal_413,chest,"[0.4, 0.53, 0.49, 0.65]"
Dataset/ThermEval-D/Thermal_413,forehead,"[0.44, 0.45, 0.47, 0.47]"
Dataset/ThermEval-D/Thermal_372,person,"[0.37, 0.39, 0.57, 0.99]"
Dataset/ThermEval-D/Thermal_372,nose,"[0.5, 0.45, 0.53, 0.49]"
Dataset/ThermEval-D/Thermal_372,forehead,"[0.49, 0.42, 0.52, 0.45]"
Dataset/ThermEval-D/Thermal_372,chest,"[0.41, 0.51, 0.53, 0.64]"
Dataset/ThermEval-D/Thermal_373,person,"[0.37, 0.42, 0.57, 0.98]"
Dataset/ThermEval-D/Thermal_373,chest,"[0.41, 0.51, 0.53, 0.66]"
Dataset/ThermEval-D/Thermal_373,nose,"[0.43, 0.46, 0.44, 0.49]"
Dataset/ThermEval-D/Thermal_373,forehead,"[0.43, 0.43, 0.46, 0.46]"
Dataset/ThermEval-D/Thermal_374,person,"[0.37, 0.41, 0.57, 0.99]"
Dataset/ThermEval-D/Thermal_374,nose,"[0.42, 0.46, 0.44, 0.48]"
Dataset/ThermEval-D/Thermal_374,forehead,"[0.43, 0.43, 0.45, 0.45]"
Dataset/ThermEval-D/Thermal_374,chest,"[0.41, 0.51, 0.53, 0.64]"
Dataset/ThermEval-D/Thermal_376,person,"[0.23, 0.33, 0.77, 0.99]"
Dataset/ThermEval-D/Thermal_376,chest,"[0.36, 0.59, 0.67, 0.99]"
Dataset/ThermEval-D/Thermal_376,forehead,"[0.45, 0.37, 0.58, 0.43]"
Dataset/ThermEval-D/Thermal_376,nose,"[0.48, 0.49, 0.53, 0.55]"
Dataset/ThermEval-D/Thermal_390,person,"[0.23, 0.34, 0.78, 0.99]"
Dataset/ThermEval-D/Thermal_390,forehead,"[0.5, 0.39, 0.63, 0.46]"
Dataset/ThermEval-D/Thermal_390,chest,"[0.37, 0.61, 0.68, 0.99]"
Dataset/ThermEval-D/Thermal_409,person,"[0.35, 0.44, 0.52, 0.97]"
Dataset/ThermEval-D/Thermal_409,nose,"[0.4, 0.49, 0.42, 0.51]"
Dataset/ThermEval-D/Thermal_409,chest,"[0.4, 0.53, 0.49, 0.65]"
Dataset/ThermEval-D/Thermal_389,person,"[0.23, 0.38, 0.78, 0.99]"
Dataset/ThermEval-D/Thermal_389,chest,"[0.39, 0.61, 0.68, 0.99]"
Dataset/ThermEval-D/Thermal_389,nose,"[0.62, 0.61, 0.66, 0.67]"
Dataset/ThermEval-D/Thermal_359,person,"[0.32, 0.36, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_359,forehead,"[0.42, 0.42, 0.46, 0.45]"
Dataset/ThermEval-D/Thermal_359,chest,"[0.39, 0.52, 0.55, 0.76]"
Dataset/ThermEval-D/Thermal_386,person,"[0.24, 0.34, 0.77, 0.99]"
Dataset/ThermEval-D/Thermal_386,nose,"[0.62, 0.46, 0.65, 0.52]"
Dataset/ThermEval-D/Thermal_386,forehead,"[0.54, 0.37, 0.62, 0.47]"
Dataset/ThermEval-D/Thermal_386,chest,"[0.38, 0.62, 0.68, 0.99]"
Dataset/ThermEval-D/Thermal_420,forehead,"[0.43, 0.45, 0.47, 0.48]"
Dataset/ThermEval-D/Thermal_420,chest,"[0.4, 0.53, 0.49, 0.64]"
Dataset/ThermEval-D/Thermal_420,person,"[0.35, 0.44, 0.52, 0.98]"
Dataset/ThermEval-D/Thermal_336,person,"[0.18, 0.24, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_336,nose,"[0.45, 0.33, 0.5, 0.37]"
Dataset/ThermEval-D/Thermal_336,forehead,"[0.43, 0.28, 0.51, 0.31]"
Dataset/ThermEval-D/Thermal_336,chest,"[0.32, 0.54, 0.61, 0.92]"
Dataset/ThermEval-D/Thermal_348,nose,"[0.51, 0.44, 0.54, 0.47]"
Dataset/ThermEval-D/Thermal_348,forehead,"[0.48, 0.38, 0.53, 0.42]"
Dataset/ThermEval-D/Thermal_348,chest,"[0.38, 0.52, 0.56, 0.79]"
Dataset/ThermEval-D/Thermal_348,person,"[0.32, 0.36, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_366,person,"[0.37, 0.39, 0.57, 0.98]"
Dataset/ThermEval-D/Thermal_366,chest,"[0.41, 0.5, 0.53, 0.64]"
Dataset/ThermEval-D/Thermal_349,person,"[0.32, 0.38, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_349,chest,"[0.39, 0.52, 0.56, 0.73]"
Dataset/ThermEval-D/Thermal_349,forehead,"[0.43, 0.39, 0.48, 0.42]"
Dataset/ThermEval-D/Thermal_370,person,"[0.37, 0.42, 0.57, 0.98]"
Dataset/ThermEval-D/Thermal_370,chest,"[0.41, 0.51, 0.53, 0.65]"
Dataset/ThermEval-D/Thermal_360,person,"[0.32, 0.37, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_360,nose,"[0.4, 0.45, 0.42, 0.49]"
Dataset/ThermEval-D/Thermal_360,forehead,"[0.4, 0.41, 0.43, 0.45]"
Dataset/ThermEval-D/Thermal_360,chest,"[0.38, 0.52, 0.55, 0.73]"
Dataset/ThermEval-D/Thermal_337,person,"[0.18, 0.26, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_337,forehead,"[0.44, 0.27, 0.54, 0.33]"
Dataset/ThermEval-D/Thermal_337,nose,"[0.51, 0.34, 0.54, 0.38]"
Dataset/ThermEval-D/Thermal_337,chest,"[0.32, 0.53, 0.63, 0.97]"
Dataset/ThermEval-D/Thermal_375,forehead,"[0.45, 0.41, 0.49, 0.43]"
Dataset/ThermEval-D/Thermal_375,chest,"[0.41, 0.51, 0.54, 0.65]"
Dataset/ThermEval-D/Thermal_375,person,"[0.37, 0.4, 0.57, 0.98]"
Dataset/ThermEval-D/Thermal_417,nose,"[0.48, 0.5, 0.49, 0.52]"
Dataset/ThermEval-D/Thermal_417,forehead,"[0.46, 0.47, 0.49, 0.49]"
Dataset/ThermEval-D/Thermal_417,chest,"[0.4, 0.53, 0.49, 0.63]"
Dataset/ThermEval-D/Thermal_417,person,"[0.36, 0.44, 0.52, 0.97]"
Dataset/ThermEval-D/Thermal_350,person,"[0.32, 0.37, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_350,nose,"[0.41, 0.44, 0.43, 0.46]"
Dataset/ThermEval-D/Thermal_350,forehead,"[0.42, 0.39, 0.46, 0.42]"
Dataset/ThermEval-D/Thermal_350,chest,"[0.39, 0.52, 0.55, 0.72]"
Dataset/ThermEval-D/Thermal_395,person,"[0.29, 0.42, 0.6, 0.99]"
Dataset/ThermEval-D/Thermal_395,nose,"[0.43, 0.49, 0.45, 0.53]"
Dataset/ThermEval-D/Thermal_395,forehead,"[0.44, 0.45, 0.48, 0.49]"
Dataset/ThermEval-D/Thermal_395,chest,"[0.41, 0.56, 0.57, 0.73]"
Dataset/ThermEval-D/Thermal_377,nose,"[0.58, 0.47, 0.62, 0.53]"
Dataset/ThermEval-D/Thermal_377,forehead,"[0.51, 0.4, 0.61, 0.45]"
Dataset/ThermEval-D/Thermal_377,chest,"[0.39, 0.62, 0.66, 0.99]"
Dataset/ThermEval-D/Thermal_377,person,"[0.23, 0.33, 0.78, 0.99]"
Dataset/ThermEval-D/Thermal_371,person,"[0.36, 0.4, 0.57, 0.99]"
Dataset/ThermEval-D/Thermal_371,chest,"[0.41, 0.5, 0.53, 0.64]"
Dataset/ThermEval-D/Thermal_371,forehead,"[0.48, 0.43, 0.51, 0.46]"
Dataset/ThermEval-D/Thermal_415,person,"[0.36, 0.45, 0.52, 0.97]"
Dataset/ThermEval-D/Thermal_415,chest,"[0.4, 0.53, 0.49, 0.65]"
Dataset/ThermEval-D/Thermal_408,person,"[0.36, 0.43, 0.52, 0.97]"
Dataset/ThermEval-D/Thermal_408,forehead,"[0.41, 0.46, 0.44, 0.49]"
Dataset/ThermEval-D/Thermal_408,chest,"[0.4, 0.53, 0.49, 0.64]"
Dataset/ThermEval-D/Thermal_353,nose,"[0.51, 0.42, 0.54, 0.45]"
Dataset/ThermEval-D/Thermal_353,forehead,"[0.47, 0.38, 0.52, 0.41]"
Dataset/ThermEval-D/Thermal_353,chest,"[0.39, 0.52, 0.57, 0.73]"
Dataset/ThermEval-D/Thermal_353,person,"[0.32, 0.37, 0.65, 0.99]"
Dataset/ThermEval-D/Thermal_410,person,"[0.36, 0.44, 0.52, 0.97]"
Dataset/ThermEval-D/Thermal_410,chest,"[0.4, 0.53, 0.49, 0.64]"
Dataset/ThermEval-D/Thermal_410,forehead,"[0.43, 0.45, 0.46, 0.47]"
Dataset/ThermEval-D/Thermal_354,person,"[0.32, 0.37, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_354,chest,"[0.38, 0.52, 0.55, 0.74]"
Dataset/ThermEval-D/Thermal_354,forehead,"[0.43, 0.37, 0.48, 0.41]"
Dataset/ThermEval-D/Thermal_272,person,"[0.49, 0.42, 0.67, 0.97]"
Dataset/ThermEval-D/Thermal_272,forehead,"[0.56, 0.42, 0.59, 0.43]"
Dataset/ThermEval-D/Thermal_272,nose,"[0.57, 0.45, 0.57, 0.46]"
Dataset/ThermEval-D/Thermal_272,chest,"[0.53, 0.52, 0.63, 0.65]"
Dataset/ThermEval-D/Thermal_255,person,"[0.34, 0.26, 0.77, 0.99]"
Dataset/ThermEval-D/Thermal_255,forehead,"[0.61, 0.35, 0.68, 0.41]"
Dataset/ThermEval-D/Thermal_255,chest,"[0.43, 0.58, 0.69, 0.97]"
